,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
84,84,2017-03,93777.06,9.2,5.8,8.7,9.1,10.6,10.6,13.5,12.4,90770.3,9.0,4.3,18.5,3.4,1.5,269.5,4.8,9.0,732.6,89,2017-05-31,3495.07,3492.88,3515.08,3474.92,10482974400.0,115968725310.0,0.0497927211928266,0.0942517349579716,0.1469331898032568,0.0886088270996998,7.6
85,85,2017-04,144326.84,8.9,4.9,8.3,7.2,10.8,10.7,12.0,12.2,126805.0,10.1,5.3,25.6,5.8,12.5,220.9,0.3,6.9,952.7,90,2017-06-30,3654.73,3666.8,3669.76,3646.23,8151002800.0,102459981992.0,0.0193820224719101,0.0462801352678083,0.0992827533544233,-0.0424948183702411,6.4
86,86,2017-05,203718.27,8.6,5.1,8.1,7.4,11.5,10.8,11.1,12.0,164855.5,1.8,4.0,32.8,10.1,16.7,218.2,4.1,6.4,1172.3,91,2017-07-31,3722.43,3737.87,3746.52,3713.66,14842903900.0,160890133166.0,0.0225315487162476,0.0719259899354445,0.1439402654452937,-0.0589132313322828,5.5
87,87,2017-06,280604.83,8.6,5.5,8.3,9.2,12.3,11.2,12.0,12.0,206447.3,-1.0,3.9,40.0,8.7,7.2,225.0,6.2,6.3,1396.8,92,2017-08-31,3835.84,3822.09,3840.2,3800.89,13294493500.0,157079216083.0,0.0037701885617553,0.0481438166029579,0.0527329288425966,-0.1275715642488796,5.5
88,88,2017-07,337409.49,8.3,4.8,7.9,5.4,11.5,11.2,11.9,12.1,247044.7,2.8,3.6,42.4,5.2,6.8,207.3,4.3,6.0,1604.1,93,2017-09-29,3825.2,3836.5,3852.22,3825.2,9330602800.0,116056776566.0,0.0443685650983969,0.050658151961423,0.0161605630131629,-0.1036465528476475,5.5
89,89,2017-08,394150.13,7.8,4.5,7.4,4.4,10.7,11.1,12.1,12.1,283929.8,7.8,2.3,51.0,7.8,7.9,213.4,4.7,5.9,1818.1,94,2017-10-31,3995.39,4006.72,4009.28,3983.26,10917877900.0,142897206949.0,-0.0001547400367382,0.067182134014855,-0.0623552431914382,-0.2128673827969011,6.3
90,90,2017-09,458478.18,7.5,4.2,7.2,5.2,10.6,11.1,11.3,12.0,321863.6,4.6,4.3,57.8,7.4,3.0,291.8,3.1,4.9,2278.9,95,2017-11-30,4034.01,4006.1,4052.8,3988.0,10798334500.0,145829948321.0,0.0061780784303937,0.0043783230573375,-0.050852450013729,-0.2080352462494695,6.9
91,91,2017-10,517817.98,7.3,4.1,6.9,4.4,9.6,10.9,12.3,12.1,364198.1,-2.5,0.7,64.5,7.3,6.3,260.1,0.6,5.3,2349.4,96,2017-12-29,4022.88,4030.85,4043.14,4012.87,9048668300.0,121257038529.0,0.0607936291352939,-0.0328342657255913,-0.1289727973008174,-0.2530979818152499,6.9
92,92,2017-11,575057.05,7.2,4.1,6.6,4.4,8.9,10.7,10.1,11.9,409196.6,-12.8,-1.1,63.6,7.3,10.5,310.7,1.8,4.1,2673.1,97,2018-01-31,4234.11,4275.9,4287.86,4232.77,14521016400.0,194401798025.0,-0.0589957669730348,-0.1213826328959983,-0.1773287495030285,-0.2512383357889566,5.8
93,93,2017-12,631683.96,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,433674.7,-6.8,-0.8,64.3,6.8,11.5,305.4,0.4,3.2,2994.2,98,2018-02-28,4016.79,4023.64,4051.71,3991.71,10934359300.0,152493909262.0,-0.0311011919555427,-0.0549900090465349,-0.1712727778827131,-0.0880471413943593,4.9
