id,stat_month,area_code,area_name,cpi_month,yoy,mom,acc
161,2014-12,701002,城市,101.6,0.016,0.003,102.1
162,2014-12,701003,农村,101.3,0.013,0.003,101.8
163,2014-11,701001,全国,101.4,0.014,-0.002,102.0
164,2014-11,701002,城市,101.5,0.015,-0.002,102.1
165,2014-11,701003,农村,101.3,0.013,-0.002,101.8
166,2014-10,701001,全国,101.6,0.016,0.0,102.1
167,2014-10,701002,城市,101.7,0.017,0.001,102.2
168,2014-10,701003,农村,101.4,0.014,0.0,101.9
169,2014-09,701001,全国,101.6,0.016,0.005,102.1
170,2014-09,701002,城市,101.7,0.017,0.005,102.2
171,2014-09,701003,农村,101.4,0.014,0.004,101.9
172,2014-08,701001,全国,102,0.02,0.002,102.2
173,2014-08,701002,城市,102,0.02,0.001,102.3
174,2014-08,701003,农村,101.9,0.019,0.003,102.0
175,2014-07,701001,全国,102.3,0.023,0.001,102.3
176,2014-07,701002,城市,102.3,0.023,0.001,102.3
177,2014-07,701003,农村,102.1,0.021,0.0,102.0
178,2014-06,701001,全国,102.3,0.023,-0.001,102.3
179,2014-06,701002,城市,102.4,0.024,-0.001,102.3
180,2014-06,701003,农村,102.1,0.021,-0.001,102.0
181,2014-05,701001,全国,102.5,0.025,0.001,102.3
182,2014-05,701002,城市,102.5,0.025,0.001,102.3
183,2014-05,701003,农村,102.3,0.023,0.002,102.0
184,2014-04,701001,全国,101.8,0.018,-0.003,102.2
185,2014-04,701002,城市,101.9,0.019,-0.003,102.2
186,2014-04,701003,农村,101.6,0.016,-0.004,101.9
187,2014-03,701001,全国,102.4,0.024,-0.005,102.3
188,2014-03,701002,城市,102.5,0.025,-0.005,102.4
189,2014-03,701003,农村,102.1,0.021,-0.006,102.0
190,2014-02,701001,全国,102,0.02,0.005,102.2
191,2014-02,701002,城市,102.1,0.021,0.006,102.3
192,2014-02,701003,农村,101.7,0.017,0.005,101.9
193,2014-01,701001,全国,102.5,0.025,0.01,102.5
194,2014-01,701002,城市,102.6,0.026,0.01,102.6
195,2014-01,701003,农村,102.2,0.022,0.009,102.2
196,2013-12,701001,全国,102.5,0.025,0.003,102.6
197,2013-12,701002,城市,102.5,0.025,0.003,102.6
198,2013-12,701003,农村,102.5,0.025,0.003,102.8
199,2013-11,701001,全国,103,0.03,-0.001,102.6
200,2013-11,701002,城市,103,0.03,-0.001,102.6
201,2013-11,701003,农村,103.1,0.031,0.0,102.8
202,2013-10,701001,全国,103.2,0.032,0.001,102.6
203,2013-10,701002,城市,103.2,0.032,0.001,102.5
204,2013-10,701003,农村,103.3,0.033,0.0,102.8
205,2013-09,701001,全国,103.1,0.031,0.008,102.5
206,2013-09,701002,城市,103,0.03,0.008,102.5
207,2013-09,701003,农村,103.3,0.033,0.008,102.7
208,2013-08,701001,全国,102.6,0.026,0.005,102.5
209,2013-08,701002,城市,102.5,0.025,0.004,102.4
210,2013-08,701003,农村,102.9,0.029,0.006,102.6
211,2013-07,701001,全国,102.7,0.027,0.001,102.4
212,2013-07,701002,城市,102.6,0.026,0.001,102.4
213,2013-07,701003,农村,102.9,0.029,0.0,102.6
214,2013-06,701001,全国,102.7,0.027,0.0,102.4
215,2013-06,701002,城市,102.6,0.026,0.0,102.4
216,2013-06,701003,农村,102.8,0.028,0.001,102.5
217,2013-05,701001,全国,102.1,0.021,-0.006,102.4
218,2013-05,701002,城市,102.1,0.021,-0.006,102.3
219,2013-05,701003,农村,102.2,0.022,-0.005,102.5
220,2013-04,701001,全国,102.4,0.024,0.002,102.4
221,2013-04,701002,城市,102.4,0.024,0.003,102.4
222,2013-04,701003,农村,102.4,0.024,0.001,102.5
223,2013-03,701001,全国,102.1,0.021,-0.009,102.4
224,2013-03,701002,城市,102,0.02,-0.009,102.4
225,2013-03,701003,农村,102.2,0.022,-0.01,102.6
226,2013-02,701001,全国,103.2,0.032,0.011,102.6
227,2013-02,701002,城市,103.2,0.032,0.011,102.6
228,2013-02,701003,农村,103.3,0.033,0.01,102.7
229,2013-01,701001,全国,102,0.02,0.01,102.0
230,2013-01,701002,城市,102,0.02,0.01,102.0
231,2013-01,701003,农村,102.2,0.022,0.012,102.2
232,2012-12,701001,全国,102.5,0.025,0.008,102.6
233,2012-12,701002,城市,102.5,0.025,0.008,102.8
234,2012-12,701003,农村,102.5,0.025,0.009,102.6
235,2012-11,701001,全国,102,0.02,0.001,102.7
236,2012-11,701002,城市,102.1,0.021,0.001,102.7
237,2012-11,701003,农村,101.9,0.019,0.002,102.5
238,2012-10,701001,全国,101.7,0.017,-0.001,102.7
239,2012-10,701002,城市,101.8,0.018,-0.001,102.8
240,2012-10,701003,农村,101.5,0.015,-0.001,102.6
241,2012-09,701001,全国,101.9,0.019,0.003,102.8
242,2012-09,701002,城市,102,0.02,0.003,102.9
243,2012-09,701003,农村,101.7,0.017,0.004,102.7
244,2012-08,701001,全国,102,0.02,0.006,102.9
245,2012-08,701002,城市,102.1,0.021,0.006,103.0
246,2012-08,701003,农村,101.8,0.018,0.006,102.8
247,2012-07,701001,全国,101.8,0.018,0.001,103.1
248,2012-07,701002,城市,101.9,0.019,0.001,103.1
249,2012-07,701003,农村,101.5,0.015,0.0,103.0
250,2012-06,701001,全国,102.2,0.022,-0.006,103.3
251,2012-06,701002,城市,102.2,0.022,-0.006,103.3
252,2012-06,701003,农村,102,0.02,-0.005,103.3
253,2012-05,701001,全国,103,0.03,-0.003,103.5
254,2012-05,701002,城市,103,0.03,-0.003,103.5
255,2012-05,701003,农村,102.9,0.029,-0.003,103.5
256,2012-04,701001,全国,103.4,0.034,-0.001,103.7
257,2012-04,701002,城市,103.4,0.034,0.0,103.7
258,2012-04,701003,农村,103.3,0.033,-0.002,103.7
259,2012-03,701001,全国,103.6,0.036,0.002,103.8
260,2012-03,701002,城市,103.6,0.036,0.002,103.8
261,2012-03,701003,农村,103.6,0.036,0.001,103.8
262,2012-02,701001,全国,103.2,0.032,-0.001,103.9
263,2012-02,701002,城市,103.2,0.032,-0.001,103.8
264,2012-02,701003,农村,103.2,0.032,-0.001,103.9
265,2012-01,701001,全国,104.5,0.045,0.015,104.5
266,2012-01,701002,城市,104.5,0.045,0.015,104.5
267,2012-01,701003,农村,104.6,0.046,0.015,104.6
268,2011-12,701001,全国,104.1,0.041,0.003,105.4
269,2011-12,701002,城市,104.1,0.041,0.003,105.3
270,2011-12,701003,农村,104.1,0.041,0.003,105.8
271,2011-11,701001,全国,104.2,0.042,-0.002,105.5
272,2011-11,701002,城市,104.2,0.042,-0.002,105.4
273,2011-11,701003,农村,104.3,0.043,-0.002,106.0
274,2011-10,701001,全国,105.5,0.055,0.001,105.6
275,2011-10,701002,城市,105.4,0.054,0.001,105.5
276,2011-10,701003,农村,105.9,0.059,0.0,106.2
277,2011-09,701001,全国,106.1,0.061,0.005,105.7
278,2011-09,701002,城市,105.9,0.059,0.004,105.5
279,2011-09,701003,农村,106.6,0.066,0.006,106.2
280,2011-08,701001,全国,106.2,0.062,0.003,105.6
281,2011-08,701002,城市,105.9,0.059,0.003,105.4
282,2011-08,701003,农村,106.7,0.067,0.003,106.1
283,2011-07,701001,全国,106.5,0.065,0.005,105.5
284,2011-07,701002,城市,106.2,0.062,0.005,105.4
285,2011-07,701003,农村,107.1,0.071,0.005,106.1
286,2011-06,701001,全国,106.4,0.064,0.003,105.4
287,2011-06,701002,城市,106.2,0.062,0.002,105.2
288,2011-06,701003,农村,107,0.07,0.004,105.9
289,2011-05,701001,全国,105.5,0.055,0.001,105.2
290,2011-05,701002,城市,105.3,0.053,0.001,105.1
291,2011-05,701003,农村,106,0.06,0.001,105.7
292,2011-04,701001,全国,105.3,0.053,0.001,105.1
293,2011-04,701002,城市,105.2,0.052,0.002,105.0
294,2011-04,701003,农村,105.8,0.058,0.001,105.6
295,2011-03,701001,全国,105.4,0.054,-0.002,105.0
296,2011-03,701002,城市,105.2,0.052,-0.002,104.9
297,2011-03,701003,农村,105.9,0.059,-0.003,105.5
298,2011-02,701001,全国,104.9,0.049,0.012,104.9
299,2011-02,701002,城市,104.8,0.048,0.012,104.7
300,2011-02,701003,农村,105.5,0.055,0.013,105.3
301,2011-01,701001,全国,104.9,0.049,0.01,104.9
302,2011-01,701002,城市,104.8,0.048,0.01,104.8
303,2011-01,701003,农村,105.2,0.052,0.011,105.2
304,2010-12,701001,全国,104.6,0.046,0.005,103.3
305,2010-12,701002,城市,104.4,0.044,0.005,103.2
306,2010-12,701003,农村,105.1,0.051,0.006,103.6
307,2010-11,701001,全国,105.1,0.051,0.011,103.2
308,2010-11,701002,城市,104.9,0.049,0.01,103.1
309,2010-11,701003,农村,105.6,0.056,0.013,103.5
310,2010-10,701001,全国,104.4,0.044,0.007,103.0
311,2010-10,701002,城市,104.2,0.042,0.007,102.9
312,2010-10,701003,农村,104.7,0.047,0.006,103.3
313,2010-09,701001,全国,103.6,0.036,0.006,102.9
314,2010-09,701002,城市,103.5,0.035,0.005,102.8
315,2010-09,701003,农村,103.9,0.039,0.007,103.1
316,2010-08,701001,全国,103.5,0.035,0.006,102.8
317,2010-08,701002,城市,103.4,0.034,0.006,102.7
318,2010-08,701003,农村,103.7,0.037,0.008,103.0
319,2010-07,701001,全国,103.3,0.033,0.004,102.7
320,2010-07,701002,城市,103.2,0.032,0.004,102.6
321,2010-07,701003,农村,103.5,0.035,0.003,102.9
