id,day,currency_id,market_id,term_id,interest_rate,currency_name
891848,2017-11-03,1,5,20,2.5772,人民币
891906,2017-11-06,1,5,20,2.512,人民币
891964,2017-11-07,1,5,20,2.552,人民币
892022,2017-11-09,1,5,20,2.646,人民币
892078,2017-11-08,1,5,20,2.595,人民币
892179,2017-11-13,1,5,20,2.787,人民币
892229,2017-11-10,1,5,20,2.717,人民币
892251,2017-11-14,1,5,20,2.827,人民币
892309,2017-11-15,1,5,20,2.806,人民币
892366,2017-11-16,1,5,20,2.8,人民币
892422,2017-11-17,1,5,20,2.738,人民币
892447,2017-11-20,1,5,20,2.786,人民币
892524,2017-11-21,1,5,20,2.808,人民币
892581,2017-11-22,1,5,20,2.809,人民币
892639,2017-11-23,1,5,20,2.803,人民币
892696,2017-11-24,1,5,20,2.797,人民币
892753,2017-11-27,1,5,20,2.819,人民币
892809,2017-11-28,1,5,20,2.799,人民币
892867,2017-11-29,1,5,20,2.683,人民币
892895,2017-11-30,1,5,20,2.788,人民币
892949,2017-12-01,1,5,20,2.642,人民币
893027,2017-12-04,1,5,20,2.6,人民币
893084,2017-12-05,1,5,20,2.579,人民币
893140,2017-12-06,1,5,20,2.573,人民币
893198,2017-12-07,1,5,20,2.585,人民币
893265,2017-12-11,1,5,20,2.688,人民币
893315,2017-12-08,1,5,20,2.608,人民币
893372,2017-12-12,1,5,20,2.726,人民币
893395,2017-12-13,1,5,20,2.788,人民币
893474,2017-12-14,1,5,20,2.803,人民币
893532,2017-12-15,1,5,20,2.724,人民币
893589,2017-12-18,1,5,20,2.723,人民币
893647,2017-12-19,1,5,20,2.741,人民币
893671,2017-12-20,1,5,20,2.73,人民币
893763,2017-12-21,1,5,20,2.665,人民币
893785,2017-12-22,1,5,20,2.612,人民币
893855,2017-12-25,1,5,20,2.569,人民币
893870,2017-12-26,1,5,20,2.589,人民币
893894,2018-01-18,1,5,20,2.7655,人民币
893952,2018-01-17,1,5,20,2.765,人民币
894010,2018-01-16,1,5,20,2.785,人民币
894067,2018-01-15,1,5,20,2.794,人民币
894089,2018-01-19,1,5,20,2.836,人民币
894147,2018-01-22,1,5,20,2.771,人民币
894205,2018-01-23,1,5,20,2.602,人民币
894264,2018-01-24,1,5,20,2.574,人民币
894323,2018-01-25,1,5,20,2.5634,人民币
894347,2018-01-26,1,5,20,2.5506,人民币
894426,2018-01-29,1,5,20,2.566,人民币
894485,2018-01-30,1,5,20,2.554,人民币
894544,2018-01-31,1,5,20,2.594,人民币
894601,2018-02-01,1,5,20,2.5154,人民币
894660,2018-02-02,1,5,20,2.5173,人民币
894759,2018-02-06,1,5,20,2.539,人民币
894825,2018-02-07,1,5,20,2.571,人民币
894883,2018-02-08,1,5,20,2.572,人民币
894942,2018-02-09,1,5,20,2.589,人民币
895001,2018-02-12,1,5,20,2.585,人民币
895008,2018-02-11,1,5,20,2.608,人民币
895067,2018-02-13,1,5,20,2.587,人民币
895131,2018-02-14,1,5,20,2.723,人民币
895203,2018-02-23,1,5,20,2.597,人民币
895253,2018-02-22,1,5,20,2.631,人民币
895335,2018-02-26,1,5,20,2.571,人民币
895342,2018-02-24,1,5,20,2.56,人民币
895401,2018-02-27,1,5,20,2.561,人民币
895425,2018-02-28,1,5,20,2.708,人民币
895468,2018-03-01,1,5,20,2.691,人民币
895562,2018-03-02,1,5,20,2.773,人民币
895621,2018-03-05,1,5,20,2.652,人民币
895679,2018-03-06,1,5,20,2.617,人民币
895738,2018-03-07,1,5,20,2.592,人民币
895797,2018-03-08,1,5,20,2.57,人民币
895856,2018-03-09,1,5,20,2.573,人民币
895950,2018-03-12,1,5,20,2.586,人民币
895973,2018-03-13,1,5,20,2.637,人民币
896032,2018-03-14,1,5,20,2.633,人民币
896090,2018-03-15,1,5,20,2.632,人民币
896149,2018-03-16,1,5,20,2.586,人民币
896243,2018-03-19,1,5,20,2.561,人民币
896273,2018-03-20,1,5,20,2.558,人民币
896311,2018-03-22,1,5,20,2.549,人民币
896335,2018-03-21,1,5,20,2.559,人民币
896392,2018-03-23,1,5,20,2.545,人民币
896436,2018-03-26,1,5,20,2.543,人民币
896514,2018-03-27,1,5,20,2.5935,人民币
896572,2018-03-28,1,5,20,2.592,人民币
896630,2018-03-29,1,5,20,2.581,人民币
896714,2018-03-30,1,5,20,2.69,人民币
896728,2018-04-02,1,5,20,2.622,人民币
896752,2018-04-03,1,5,20,2.574,人民币
896776,2018-04-04,1,5,20,2.469,人民币
896903,2018-04-08,1,5,20,2.446,人民币
896962,2018-04-09,1,5,20,2.528,人民币
896986,2018-04-10,1,5,20,2.551,人民币
897045,2018-04-11,1,5,20,2.561,人民币
897102,2018-04-12,1,5,20,2.557,人民币
897161,2018-04-13,1,5,20,2.557,人民币
897255,2018-04-17,1,5,20,2.665,人民币
897314,2018-04-16,1,5,20,2.582,人民币
897338,2018-04-18,1,5,20,2.679,人民币
897396,2018-04-19,1,5,20,2.733,人民币
897453,2018-04-20,1,5,20,2.747,人民币
897545,2018-04-23,1,5,20,2.724,人民币
897567,2018-04-24,1,5,20,2.736,人民币
897591,2018-04-25,1,5,20,2.728,人民币
897684,2018-04-26,1,5,20,2.765,人民币
897706,2018-04-27,1,5,20,2.921,人民币
897791,2018-04-28,1,5,20,2.824,人民币
897813,2018-05-02,1,5,20,2.72,人民币
897879,2018-05-03,1,5,20,2.681,人民币
897922,2018-05-04,1,5,20,2.594,人民币
898042,2018-05-07,1,5,20,2.582,人民币
898065,2018-05-08,1,5,20,2.575,人民币
898088,2018-05-09,1,5,20,2.52,人民币
898154,2018-05-11,1,5,20,2.487,人民币
898169,2018-05-10,1,5,20,2.509,人民币
898263,2018-05-14,1,5,20,2.58,人民币
898286,2018-05-15,1,5,20,2.641,人民币
898309,2018-05-16,1,5,20,2.766,人民币
898400,2018-05-17,1,5,20,2.597,人民币
