,date,open,close,high,low,volume,money,factor,open_interest,stkcd
165,2023-03-10,2783.502,2686.944,2789.749,2669.057,7625128.0,424667717580.0,1.0,1368192.0,SA8888.XZCE
166,2023-03-17,2686.125,2578.325,2709.764,2545.129,8061966.0,433851203220.0,1.0,1408882.0,SA8888.XZCE
167,2023-03-24,2573.091,2620.811,2624.435,2528.872,6899232.0,360746393340.0,1.0,1419498.0,SA8888.XZCE
168,2023-03-31,2593.758,2511.586,2636.06,2492.315,8383698.0,424548550360.0,1.0,1389303.0,SA8888.XZCE
169,2023-04-07,2504.242,2448.717,2529.68,2422.114,5274501.0,259010022440.0,1.0,1442369.0,SA8888.XZCE
170,2023-04-14,2448.054,2342.575,2459.631,2310.433,7956048.0,372387566360.0,1.0,1516843.0,SA8888.XZCE
171,2023-04-21,2338.784,2193.512,2386.138,2175.986,11297524.0,511829483460.0,1.0,1563538.0,SA8888.XZCE
172,2023-04-28,2192.716,2060.994,2202.652,2049.072,12282642.0,523346480260.0,1.0,1497793.0,SA8888.XZCE
173,2023-05-05,2015.998,1996.189,2046.487,1967.306,3995020.0,161939968660.0,1.0,1579763.0,SA8888.XZCE
174,2023-05-12,1999.986,1829.648,2037.907,1824.021,14462427.0,565843411420.0,1.0,1948600.0,SA8888.XZCE
175,2023-05-19,1835.063,1709.486,1869.609,1657.148,20527293.0,735870825240.0,1.0,2168665.0,SA8888.XZCE
176,2023-05-26,1713.885,1558.404,1717.675,1506.281,25182263.0,800703503920.0,1.0,2648735.0,SA8888.XZCE
177,2023-06-02,1556.109,1612.543,1652.969,1488.876,22835281.0,736384677500.0,1.0,2609026.0,SA8888.XZCE
178,2023-06-09,1620.038,1566.992,1632.731,1536.293,13313552.0,434270527960.0,1.0,2727973.0,SA8888.XZCE
179,2023-06-16,1569.115,1612.859,1647.779,1507.64,15159762.0,495699375540.0,1.0,2852682.0,SA8888.XZCE
180,2023-06-21,1612.63,1571.18,1640.074,1567.831,9150290.0,302375251600.0,1.0,2861482.0,SA8888.XZCE
181,2023-06-30,1542.802,1570.732,1595.006,1508.224,11308450.0,363442766520.0,1.0,2986409.0,SA8888.XZCE
182,2023-07-07,1567.118,1566.11,1586.381,1551.773,8733667.0,285418286140.0,1.0,3103786.0,SA8888.XZCE
183,2023-07-14,1566.098,1671.357,1686.824,1559.806,13760318.0,466993203440.0,1.0,2856459.0,SA8888.XZCE
184,2023-07-21,1667.954,1729.016,1742.027,1594.99,15022895.0,526741114260.0,1.0,2852117.0,SA8888.XZCE
185,2023-07-28,1732.295,1790.046,1891.448,1684.562,24038996.0,899661114760.0,1.0,2685606.0,SA8888.XZCE
186,2023-08-04,1772.563,1674.278,1844.852,1661.106,19786189.0,716746728160.0,1.0,3096239.0,SA8888.XZCE
187,2023-08-11,1660.611,1691.871,1693.897,1594.003,15425504.0,507397311100.0,1.0,3078616.0,SA8888.XZCE
188,2023-08-18,1692.325,1817.029,1849.352,1622.418,22272716.0,780991909320.0,1.0,2690593.0,SA8888.XZCE
189,2023-08-25,1817.769,2147.037,2168.072,1790.382,28984752.0,1187992563920.0,1.0,2251041.0,SA8888.XZCE
190,2023-09-01,2165.375,2114.924,2229.505,1874.827,23562733.0,967280917200.0,1.0,1638565.0,SA8888.XZCE
191,2023-09-08,2110.187,1855.856,2132.195,1850.014,15638418.0,626931396640.0,1.0,1750105.0,SA8888.XZCE
192,2023-09-15,1857.551,1861.136,1920.082,1784.862,8865082.0,334407832460.0,1.0,1676468.0,SA8888.XZCE
193,2023-09-22,1854.011,1864.367,1943.522,1775.105,6734916.0,254948931060.0,1.0,1518549.0,SA8888.XZCE
194,2023-09-28,1868.756,1748.519,1893.981,1744.967,4087773.0,151192345860.0,1.0,1462955.0,SA8888.XZCE
195,2023-10-13,1720.892,1725.577,1766.135,1674.773,3912650.0,135105981660.0,1.0,1553718.0,SA8888.XZCE
196,2023-10-20,1728.749,1699.847,1745.298,1692.35,3906349.0,134804726280.0,1.0,1579650.0,SA8888.XZCE
197,2023-10-27,1698.723,1679.763,1707.346,1645.325,3672420.0,123638515240.0,1.0,1567185.0,SA8888.XZCE
198,2023-11-03,1681.784,1749.976,1760.239,1670.932,4185800.0,144939333860.0,1.0,1531925.0,SA8888.XZCE
199,2023-11-10,1752.882,2019.882,2034.356,1741.905,9375144.0,357285944980.0,1.0,1258040.0,SA8888.XZCE
200,2023-11-17,2038.681,1997.932,2097.385,1918.679,10085955.0,412507416120.0,1.0,1030438.0,SA8888.XZCE
201,2023-11-24,2013.969,2171.348,2197.101,1994.986,10100444.0,446388255780.0,1.0,1141248.0,SA8888.XZCE
202,2023-12-01,2179.1,2344.597,2349.089,2104.082,11385433.0,509046756640.0,1.0,1077713.0,SA8888.XZCE
203,2023-12-08,2315.36,2440.022,2521.435,2303.984,12259898.0,577956675320.0,1.0,911453.0,SA8888.XZCE
204,2023-12-15,2401.55,2303.669,2441.317,2227.074,7205040.0,327221756760.0,1.0,800675.0,SA8888.XZCE
205,2023-12-22,2277.491,2224.248,2297.16,2108.45,5602169.0,242643892980.0,1.0,719972.0,SA8888.XZCE
206,2023-12-29,2205.306,2056.533,2213.962,2043.068,3788931.0,159053292520.0,1.0,641323.0,SA8888.XZCE
207,2024-01-05,2010.094,1941.41,2089.533,1934.871,2962386.0,119177668000.0,1.0,694544.0,SA8888.XZCE
208,2024-01-12,1949.515,1830.833,1970.443,1817.546,3425594.0,129375406640.0,1.0,758634.0,SA8888.XZCE
209,2024-01-19,1833.954,1902.655,1951.071,1812.179,4052478.0,152797024580.0,1.0,715186.0,SA8888.XZCE
210,2024-01-26,1905.249,1981.685,2143.868,1897.246,7139847.0,293538770220.0,1.0,697926.0,SA8888.XZCE
211,2024-02-02,1976.324,1955.717,2026.826,1890.301,4284941.0,167693708640.0,1.0,687554.0,SA8888.XZCE
212,2024-02-08,1954.615,1935.739,1980.633,1911.338,2197367.0,85347053680.0,1.0,595060.0,SA8888.XZCE
213,2024-02-23,1883.662,1838.694,1884.156,1804.093,2787599.0,102752813780.0,1.0,772449.0,SA8888.XZCE
