,Unnamed: 0,date_x,open,close,high,low,volume,money,factor,open_interest,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y
20,20,2023-05-12,1825.0,1683.0,1850.0,1683.0,26816.0,941631420.0,1.0,19736.0,SA2312.XZCE,2023,5,19,227,53,2023-05-04,93.54,62.5,,,,,1558062.0,844383.0,,,,,,93.54,,,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0
21,21,2023-05-19,1691.0,1616.0,1716.0,1568.0,55240.0,1813082660.0,1.0,21557.0,SA2312.XZCE,2023,5,20,228,53,2023-05-11,91.19,60.93,,,,,1626151.0,886851.0,,,,,,91.19,,,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0
22,22,2023-05-26,1619.0,1457.0,1620.0,1416.0,41570.0,1220402720.0,1.0,20651.0,SA2312.XZCE,2023,5,21,229,53,2023-05-18,87.33,58.73,,,,,1993479.0,1060265.0,,,,,,87.33,,,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0
23,23,2023-06-02,1455.0,1474.0,1527.0,1391.0,93228.0,2693673080.0,1.0,25000.0,SA2312.XZCE,2023,6,22,230,54,2023-05-25,89.22,59.99,,,,,2462101.0,1311473.0,,,,,,89.22,,,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0
24,24,2023-06-09,1479.0,1444.0,1489.0,1424.0,55545.0,1610636440.0,1.0,27394.0,SA2312.XZCE,2023,6,23,231,54,2023-06-01,90.14,60.62,1313.9,7.0,263.1,1.6,2584891.0,1219253.0,,1519.458005,117.220553,-13.928978,-5.474064,90.14,2.3,-4.7,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0
25,25,2023-06-16,1448.0,1484.0,1510.0,1402.0,99300.0,2897776460.0,1.0,28019.0,SA2312.XZCE,2023,6,24,232,54,2023-06-08,89.6,60.25,,,,,2663043.0,1129130.0,,,,,,89.6,,,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0
26,26,2023-06-21,1485.0,1439.0,1499.0,1438.0,60205.0,1774222740.0,1.0,28802.0,SA2312.XZCE,2023,6,25,233,54,2023-06-15,90.05,60.55,,,,,2907864.0,1213395.0,,,,,,90.05,,,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0
27,27,2023-06-30,1431.0,1459.0,1479.0,1405.0,96850.0,2785569120.0,1.0,24371.0,SA2312.XZCE,2023,6,26,234,54,2023-06-22,91.34,61.03,,,,,2871697.0,1134062.0,,,,,,91.34,,,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0
28,28,2023-07-07,1458.0,1463.0,1479.0,1452.0,116494.0,3409855680.0,1.0,64460.0,SA2312.XZCE,2023,7,27,235,55,2023-06-29,90.3,60.34,1580.7,6.4,266.8,3.5,2948823.0,1070991.0,,217.849867,124.380432,-12.384722,-2.785412,90.3,1.5,-2.3,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0
29,29,2023-07-14,1464.0,1558.0,1579.0,1460.0,229451.0,6986677120.0,1.0,88172.0,SA2312.XZCE,2023,7,28,236,55,2023-07-06,83.84,56.02,,,,,2991515.0,1106262.0,,,,,,83.84,,,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0
30,30,2023-07-21,1560.0,1591.0,1616.0,1490.0,257677.0,8016789960.0,1.0,106359.0,SA2312.XZCE,2023,7,29,237,55,2023-07-13,84.62,56.54,,,,,3207866.0,1204803.0,,,,,,84.62,,,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0
